title,artist,track_id
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,NOT_FOUND
Can't Stop,Red Hot Chili Peppers,3ZOEytgrvLwQaqXreDs2Jx
Clocks,Coldplay,0BCPKOYdS2jbQ8iyB56Zns
Congratulations,Post Malone,NOT_FOUND
death bed (coffee for your head),Powfu,7eJMfftS33KTjuF7lTsMCx
Desesperados,Rauw Alejandro,6mmPpaltUZK7xjNlBPQQ0p
Don't Start Now,Dua Lipa,6WrI0LAC5M1Rw2MnX2ZvEg
Don't You Worry Child - Radio Edit,Swedish House Mafia,4e4DujMLh9227SuYdFsHK2
Dynamite,BTS,0t1kP63rueHleOhQkYSXFY
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,1r9xUipOqoNwggBpENDsvJ
Feel So Close - Radio Edit,Calvin Harris,1gihuPhrLraKYrJMAEONyc
First Class,Jack Harlow,5pZEThCuY84PiajfmeOJ3i
Gasolina,Daddy Yankee,6jEZLz3YpnEBRpVkv35AmP
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,NOT_FOUND
Hate It Or Love It,The Game,NOT_FOUND
Heartbreak Anniversary,Giveon,3FAJ6O0NOHQV8Mc5Ri6ENp
Hey Ya!,Outkast,NOT_FOUND
I Gotta Feeling,Black Eyed Peas,4vp2J1l5RD4gMZwGFLfRAu
I Like Me Better,Lauv,2P91MQbaiQOfbiz9VqhqKQ
I Want It That Way,Backstreet Boys,47BBI51FKFwOMlIiX6m8ya
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,27NovPIUIRrOZoCHxABJwK
Just Give Me a Reason (feat. Nate Ruess),P!nk,NOT_FOUND
Leave The Door Open,Bruno Mars,1Fym4wXCqQDGSOdBPqKv9c
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,4gzsuuZypVbxs0Af1LSZyB
Lose You To Love Me,Selena Gomez,4l0Mvzj72xxOpRrp6h8nHi
Love You Like A Love Song,Selena Gomez & The Scene,0laYHRpNTS6i8FXdupHkJ4
Mask Off,Future,0VgkVdmE4gld66l8iyGjgx
MIDDLE CHILD,J. Cole,2JvzF1RMd7lE3KmFlsyZD8
Mood (feat. iann dior),24kGoldn,4jPy3l0RUwlUI9T5XHBW2m
Moth To A Flame (with The Weeknd),Swedish House Mafia,0VO8gYVDSwM1Qdd2GsMoYK
Ms. Jackson,Outkast,0I3q5fE6wg7LIfHGngUTnV
My Universe,Coldplay,NOT_FOUND
My Universe,Coldplay,NOT_FOUND
No Lie,Sean Paul,48QmG1dfvMuYLxMPt7KSRA
Party In The U.S.A.,Miley Cyrus,5Q0Nhxo0l2bP3pNjpGJwV1
Rolling in the Deep,Adele,1CkvWZme3pRgbzaxZnTl5X
SAD!,XXXTENTACION,3ee8Jmje8o58CHK66QrVC2
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,NOT_FOUND
Sex on Fire,Kings of Leon,0ntQJM78wzOLVeCUAW7Y45
Smack That,Akon,2kQuhkFX7uSVepCD3h29g5
Someone Like You,Adele,4kflIGfjdZJW4ot2ioixTB
Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,0qOnSQQF0yzuPWsXrQ9paz
Streets,Doja Cat,60ynsPSSKe6O3sfwRnIBRf
Stronger,Kanye West,4fzsfWzRhPawzqhX8Qt9F3
Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk
thank u, next,Ariana Grande,NOT_FOUND
